City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,marystown,47.17,-55.15,30.58,87,0,13.8,CA,1582486387
185,shelburne,44.08,-80.2,46.0,48,20,13.87,CA,1582486229
186,souillac,-20.52,57.52,77.0,88,75,4.7,MU,1582486387
187,leningradskiy,69.38,178.42,-13.5,73,100,5.79,RU,1582486388
188,misawa,40.68,141.36,33.8,59,40,17.22,JP,1582486388
189,inta,66.03,60.17,27.77,84,100,18.66,RU,1582486388
190,touros,-5.2,-35.46,87.8,66,2,14.99,BR,1582486388
191,moranbah,-22.0,148.05,71.46,93,100,17.18,AU,1582486388
192,arlit,18.74,7.39,70.07,16,27,9.66,NE,1582486388
193,roma,43.21,-75.46,48.99,34,1,7.27,US,1582486388
194,razole,16.48,81.83,69.98,88,100,1.34,IN,1582486388
195,qaqortoq,60.72,-46.03,24.8,58,100,3.36,GL,1582486388
196,garden city,42.33,-83.33,52.0,34,20,18.34,US,1582486266
197,yaan,7.38,8.57,85.37,13,3,3.4,NG,1582486389
198,paamiut,61.99,-49.67,15.62,72,100,6.87,GL,1582486389
199,nadym,65.53,72.52,25.88,88,100,23.73,RU,1582486389
200,port maria,18.37,-76.89,84.2,66,75,8.05,JM,1582486389
201,faya,18.39,42.45,64.4,36,72,6.93,SA,1582486185
202,mongomo,1.63,11.31,71.42,94,99,3.4,GQ,1582486389
203,rio bravo,25.98,-98.1,82.4,44,75,11.41,MX,1582486323
204,melville,40.79,-73.42,57.2,22,1,11.41,US,1582486237
205,ilulissat,69.22,-51.1,-4.0,48,0,4.7,GL,1582486390
206,mackenzie,55.3,-123.17,21.2,67,1,8.05,CA,1582486390
207,freeport,40.66,-73.58,57.2,22,1,11.41,US,1582486107
208,guarapari,-20.67,-40.5,77.0,73,90,16.11,BR,1582486390
209,ghanzi,-21.57,21.78,67.91,85,96,13.73,BW,1582486390
210,zhangjiakou,40.81,114.88,28.65,46,94,2.26,CN,1582486391
211,saldanha,-33.01,17.94,78.8,34,0,12.75,ZA,1582486391
212,vanimo,-2.67,141.3,81.77,80,99,14.16,PG,1582486391
213,santa isabel do rio negro,-0.41,-65.02,84.31,81,100,4.27,BR,1582486392
214,okhotsk,59.38,143.3,-15.3,76,10,7.99,RU,1582486392
215,saint-augustin,51.23,-58.65,22.93,78,100,9.44,CA,1582486392
216,honiara,-9.43,159.95,77.0,94,20,2.24,SB,1582486392
217,los algarrobos,8.5,-82.43,89.6,59,20,9.17,PA,1582486392
218,falmouth,50.15,-5.07,48.2,100,100,6.93,GB,1582486392
219,taoudenni,22.68,-3.98,79.81,9,97,18.19,ML,1582486393
220,clyde river,70.47,-68.59,-22.0,74,20,11.41,CA,1582486393
221,karratha,-20.74,116.85,81.21,75,0,16.49,AU,1582486393
222,nikolskoye,59.7,30.79,37.4,86,90,11.18,RU,1582486393
223,dunedin,-45.87,170.5,60.01,73,37,4.5,NZ,1582486202
224,polis,35.04,32.43,53.6,76,20,8.05,CY,1582486393
225,misratah,32.38,15.09,58.28,61,0,12.3,LY,1582486393
226,quatre cocos,-20.21,57.76,77.0,88,75,4.7,MU,1582486394
227,luena,-11.78,19.92,64.92,97,100,6.4,AO,1582486394
228,longyearbyen,78.22,15.64,-4.0,70,20,5.82,SJ,1582486394
229,vila velha,-20.33,-40.29,77.0,73,90,16.11,BR,1582486394
230,kajaani,64.17,27.67,30.2,86,48,13.87,FI,1582486394
231,wanning,18.8,110.4,68.9,91,57,5.59,CN,1582486394
232,polczyn-zdroj,53.76,16.1,41.0,94,100,1.99,PL,1582486394
233,acarau,-2.89,-40.12,77.76,88,9,5.39,BR,1582486394
